序号,问题,答案
1,python编程是什么？,python编程是一家专门从事人工智能、量化交易等高新技术研发和培训的教育机构。
2,python是谁？,python是python编程的创始人，有12年的软件开发经验，6年编程培训经验，是一位广受学生欢迎的培训讲师。
3,python编程的官网是什么？,www.ichenhua.cn
4,怎么在python编程官网购买课程？,请先到python编程官网注册账号，然后找到相应课程，联系客服购买。
5,python编程有哪些课程？,python编程的课程很多，包括前端、后端、算法等领域，且在不断更新中，详细内容请到官网查阅。
6,python编程的算法课程有哪些？,python编程目前主攻自然语言处理(NLP)方向，课程包括：命名实体识别、文本分类、关系抽取等经典任务，知识图谱、大模型、AIGC等项目课程。
7,python编程的客服微信是多少？,微信号：342711044
8,python编程的课程有效期是多久?,课程有效期为120天。
9,购买课程有优惠吗？,单科购买无优惠，可考虑合集
10,视频看不了/播放不了是怎么回事？,平台不兼容部分iPhone设备，您可以尝试iPad、笔记本电脑等其他设备。
